University Name_Shanghai,Links_Shanghai,University Name_Links2,Links_Links2,University Name_final,Links_final,University Name_LinksXLSX,Links_LinksXLSX
johns hopkins university,https://www.shanghairanking.com/institution/johns-hopkins-university,johns hopkins university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-44788493,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
university college london,https://www.shanghairanking.com/institution/university-college-london,yale university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-73583889,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
university of washington,https://www.shanghairanking.com/institution/university-of-washington,university of washington,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-79008396,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
"university of california, san diego",https://www.shanghairanking.com/institution/university-of-california-san-diego,"university of california, san diego",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-62118223,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
eth zurich,https://www.shanghairanking.com/institution/eth-zurich,,Not Available,,,,Not Available
"university of california, san francisco",https://www.shanghairanking.com/institution/university-of-california-san-francisco,university of oxford,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
tsinghua university,https://www.shanghairanking.com/institution/tsinghua-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
imperial college london,https://www.shanghairanking.com/institution/imperial-college-london,imperial college london,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67704114,,,,Not Available
university of toronto,https://www.shanghairanking.com/institution/university-of-toronto,university of toronto,https://www.timeshighereducation.com/student/register-interest/applyboard?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67051171,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
washington university in st. louis,https://www.shanghairanking.com/institution/washington-university-in-st-louis,university of washington,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-79008396,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,monash university,https://www.monash.edu/study/interest-areas/health
